LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
HUN,CPIFORECAST,TOT,AGRWTH,A,1991,34.81754268,
HUN,CPIFORECAST,TOT,AGRWTH,A,1992,23.6557172,
HUN,CPIFORECAST,TOT,AGRWTH,A,1993,22.4642409,
HUN,CPIFORECAST,TOT,AGRWTH,A,1994,18.86807918,
HUN,CPIFORECAST,TOT,AGRWTH,A,1995,28.30546458,
HUN,CPIFORECAST,TOT,AGRWTH,A,1996,23.4690313,
HUN,CPIFORECAST,TOT,AGRWTH,A,1997,18.30507737,
HUN,CPIFORECAST,TOT,AGRWTH,A,1998,14.15378955,
HUN,CPIFORECAST,TOT,AGRWTH,A,1999,9.9977439,
HUN,CPIFORECAST,TOT,AGRWTH,A,2000,9.803607851,
HUN,CPIFORECAST,TOT,AGRWTH,A,2001,9.116809117,
HUN,CPIFORECAST,TOT,AGRWTH,A,2002,5.265448216,
HUN,CPIFORECAST,TOT,AGRWTH,A,2003,4.661016949,
HUN,CPIFORECAST,TOT,AGRWTH,A,2004,6.744346796,
HUN,CPIFORECAST,TOT,AGRWTH,A,2005,3.561517114,
HUN,CPIFORECAST,TOT,AGRWTH,A,2006,3.930326038,
HUN,CPIFORECAST,TOT,AGRWTH,A,2007,7.958745165,
HUN,CPIFORECAST,TOT,AGRWTH,A,2008,6.042512539,
HUN,CPIFORECAST,TOT,AGRWTH,A,2009,4.211711712,
HUN,CPIFORECAST,TOT,AGRWTH,A,2010,4.855557957,
HUN,CPIFORECAST,TOT,AGRWTH,A,2011,3.929920989,
HUN,CPIFORECAST,TOT,AGRWTH,A,2012,5.652145171,
HUN,CPIFORECAST,TOT,AGRWTH,A,2013,1.73319985,
HUN,CPIFORECAST,TOT,AGRWTH,A,2014,-0.227566271,
HUN,CPIFORECAST,TOT,AGRWTH,A,2015,-0.06164468,
HUN,CPIFORECAST,TOT,AGRWTH,A,2016,0.394769307,
HUN,CPIFORECAST,TOT,AGRWTH,A,2017,2.348242812,
HUN,CPIFORECAST,TOT,AGRWTH,A,2018,2.850247926,
HUN,CPIFORECAST,TOT,AGRWTH,A,2019,3.338586354,
HUN,CPIFORECAST,TOT,AGRWTH,A,2020,3.32674386,
HUN,CPIFORECAST,TOT,AGRWTH,A,2021,3.876569977,
HUN,CPIFORECAST,TOT,AGRWTH,A,2022,3.912634815,
ISL,CPIFORECAST,TOT,AGRWTH,A,1963,12.92802236,
ISL,CPIFORECAST,TOT,AGRWTH,A,1964,19.2450495,
ISL,CPIFORECAST,TOT,AGRWTH,A,1965,7.317073171,
ISL,CPIFORECAST,TOT,AGRWTH,A,1966,10.68665377,
ISL,CPIFORECAST,TOT,AGRWTH,A,1967,3.320227173,
ISL,CPIFORECAST,TOT,AGRWTH,A,1968,13.95040169,
ISL,CPIFORECAST,TOT,AGRWTH,A,1969,21.12449799,
ISL,CPIFORECAST,TOT,AGRWTH,A,1970,13.85941645,
ISL,CPIFORECAST,TOT,AGRWTH,A,1971,7.862550961,
ISL,CPIFORECAST,TOT,AGRWTH,A,1972,8.747300216,
ISL,CPIFORECAST,TOT,AGRWTH,A,1973,19.66236346,
ISL,CPIFORECAST,TOT,AGRWTH,A,1974,40.82987552,
ISL,CPIFORECAST,TOT,AGRWTH,A,1975,50.11785504,
ISL,CPIFORECAST,TOT,AGRWTH,A,1976,36.09175662,
ISL,CPIFORECAST,TOT,AGRWTH,A,1977,30.31674208,
ISL,CPIFORECAST,TOT,AGRWTH,A,1978,43.75,
ISL,CPIFORECAST,TOT,AGRWTH,A,1979,44.44444444,
ISL,CPIFORECAST,TOT,AGRWTH,A,1980,58.52842809,
ISL,CPIFORECAST,TOT,AGRWTH,A,1981,51.79324895,
ISL,CPIFORECAST,TOT,AGRWTH,A,1982,50.24322446,
ISL,CPIFORECAST,TOT,AGRWTH,A,1983,83.95004625,
ISL,CPIFORECAST,TOT,AGRWTH,A,1984,30.85240131,
ISL,CPIFORECAST,TOT,AGRWTH,A,1985,31.99461952,
ISL,CPIFORECAST,TOT,AGRWTH,A,1986,22.12840297,
ISL,CPIFORECAST,TOT,AGRWTH,A,1987,18.29777089,
ISL,CPIFORECAST,TOT,AGRWTH,A,1988,25.72551391,
ISL,CPIFORECAST,TOT,AGRWTH,A,1989,20.75819508,
ISL,CPIFORECAST,TOT,AGRWTH,A,1990,15.51071879,
ISL,CPIFORECAST,TOT,AGRWTH,A,1991,6.808779591,
ISL,CPIFORECAST,TOT,AGRWTH,A,1992,3.947712181,
ISL,CPIFORECAST,TOT,AGRWTH,A,1993,4.042850168,
ISL,CPIFORECAST,TOT,AGRWTH,A,1994,1.552657262,
ISL,CPIFORECAST,TOT,AGRWTH,A,1995,1.651231871,
ISL,CPIFORECAST,TOT,AGRWTH,A,1996,2.260421143,
ISL,CPIFORECAST,TOT,AGRWTH,A,1997,1.815431165,
ISL,CPIFORECAST,TOT,AGRWTH,A,1998,1.659237246,
ISL,CPIFORECAST,TOT,AGRWTH,A,1999,3.2318311,
ISL,CPIFORECAST,TOT,AGRWTH,A,2000,5.136474475,
ISL,CPIFORECAST,TOT,AGRWTH,A,2001,6.405085568,
ISL,CPIFORECAST,TOT,AGRWTH,A,2002,5.197023117,
ISL,CPIFORECAST,TOT,AGRWTH,A,2003,2.055661747,
ISL,CPIFORECAST,TOT,AGRWTH,A,2004,3.158195369,
ISL,CPIFORECAST,TOT,AGRWTH,A,2005,3.987048441,
ISL,CPIFORECAST,TOT,AGRWTH,A,2006,6.687073704,
ISL,CPIFORECAST,TOT,AGRWTH,A,2007,5.051563842,
ISL,CPIFORECAST,TOT,AGRWTH,A,2008,12.69440193,
ISL,CPIFORECAST,TOT,AGRWTH,A,2009,12.00311705,
ISL,CPIFORECAST,TOT,AGRWTH,A,2010,5.396731646,
ISL,CPIFORECAST,TOT,AGRWTH,A,2011,4.001026165,
ISL,CPIFORECAST,TOT,AGRWTH,A,2012,5.185900374,
ISL,CPIFORECAST,TOT,AGRWTH,A,2013,3.872275135,
ISL,CPIFORECAST,TOT,AGRWTH,A,2014,2.044618947,
ISL,CPIFORECAST,TOT,AGRWTH,A,2015,1.633058484,
ISL,CPIFORECAST,TOT,AGRWTH,A,2016,1.696930237,
ISL,CPIFORECAST,TOT,AGRWTH,A,2017,1.760412792,
ISL,CPIFORECAST,TOT,AGRWTH,A,2018,2.682915087,
ISL,CPIFORECAST,TOT,AGRWTH,A,2019,3.013976786,
ISL,CPIFORECAST,TOT,AGRWTH,A,2020,2.847918698,
ISL,CPIFORECAST,TOT,AGRWTH,A,2021,4.093285506,
ISL,CPIFORECAST,TOT,AGRWTH,A,2022,2.465469768,
JPN,CPIFORECAST,TOT,AGRWTH,A,1961,5.368456152,
JPN,CPIFORECAST,TOT,AGRWTH,A,1962,6.835443038,
JPN,CPIFORECAST,TOT,AGRWTH,A,1963,6.706903334,
JPN,CPIFORECAST,TOT,AGRWTH,A,1964,3.800387418,
JPN,CPIFORECAST,TOT,AGRWTH,A,1965,6.656002843,
JPN,CPIFORECAST,TOT,AGRWTH,A,1966,5.040826529,
JPN,CPIFORECAST,TOT,AGRWTH,A,1967,3.98984691,
JPN,CPIFORECAST,TOT,AGRWTH,A,1968,5.339435545,
JPN,CPIFORECAST,TOT,AGRWTH,A,1969,5.249818972,
JPN,CPIFORECAST,TOT,AGRWTH,A,1970,6.924173179,
JPN,CPIFORECAST,TOT,AGRWTH,A,1971,6.395348837,
JPN,CPIFORECAST,TOT,AGRWTH,A,1972,4.843517139,
JPN,CPIFORECAST,TOT,AGRWTH,A,1973,11.60862355,
JPN,CPIFORECAST,TOT,AGRWTH,A,1974,23.22224581,
JPN,CPIFORECAST,TOT,AGRWTH,A,1975,11.73126615,
JPN,CPIFORECAST,TOT,AGRWTH,A,1976,9.374036386,
JPN,CPIFORECAST,TOT,AGRWTH,A,1977,8.161826896,
JPN,CPIFORECAST,TOT,AGRWTH,A,1978,4.209566011,
JPN,CPIFORECAST,TOT,AGRWTH,A,1979,3.701850925,
JPN,CPIFORECAST,TOT,AGRWTH,A,1980,7.778581766,
JPN,CPIFORECAST,TOT,AGRWTH,A,1981,4.912162918,
JPN,CPIFORECAST,TOT,AGRWTH,A,1982,2.741040956,
JPN,CPIFORECAST,TOT,AGRWTH,A,1983,1.899719713,
JPN,CPIFORECAST,TOT,AGRWTH,A,1984,2.261613692,
JPN,CPIFORECAST,TOT,AGRWTH,A,1985,3.072721336,
JPN,CPIFORECAST,TOT,AGRWTH,A,1986,0.132275028,
JPN,CPIFORECAST,TOT,AGRWTH,A,1987,0.052966102,
JPN,CPIFORECAST,TOT,AGRWTH,A,1988,0.714663843,
JPN,CPIFORECAST,TOT,AGRWTH,A,1989,2.251423565,
JPN,CPIFORECAST,TOT,AGRWTH,A,1990,2.818711446,
JPN,CPIFORECAST,TOT,AGRWTH,A,1991,3.258061828,
JPN,CPIFORECAST,TOT,AGRWTH,A,1992,1.734990316,
JPN,CPIFORECAST,TOT,AGRWTH,A,1993,1.261204093,
JPN,CPIFORECAST,TOT,AGRWTH,A,1994,0.697164343,
JPN,CPIFORECAST,TOT,AGRWTH,A,1995,-0.115912077,
JPN,CPIFORECAST,TOT,AGRWTH,A,1996,0.017268198,
JPN,CPIFORECAST,TOT,AGRWTH,A,1997,1.694486596,
JPN,CPIFORECAST,TOT,AGRWTH,A,1998,0.671474758,
JPN,CPIFORECAST,TOT,AGRWTH,A,1999,-0.345849802,
JPN,CPIFORECAST,TOT,AGRWTH,A,2000,-0.540927409,
JPN,CPIFORECAST,TOT,AGRWTH,A,2001,-0.804093567,
JPN,CPIFORECAST,TOT,AGRWTH,A,2002,-0.892491607,
JPN,CPIFORECAST,TOT,AGRWTH,A,2003,-0.264375413,
JPN,CPIFORECAST,TOT,AGRWTH,A,2004,-0.016567263,
JPN,CPIFORECAST,TOT,AGRWTH,A,2005,-0.562261354,
JPN,CPIFORECAST,TOT,AGRWTH,A,2006,0.232365145,
JPN,CPIFORECAST,TOT,AGRWTH,A,2007,0.074515648,
JPN,CPIFORECAST,TOT,AGRWTH,A,2008,1.381649706,
JPN,CPIFORECAST,TOT,AGRWTH,A,2009,-1.362820304,
JPN,CPIFORECAST,TOT,AGRWTH,A,2010,-0.614416007,
JPN,CPIFORECAST,TOT,AGRWTH,A,2011,-0.284924883,
JPN,CPIFORECAST,TOT,AGRWTH,A,2012,-0.025976275,
JPN,CPIFORECAST,TOT,AGRWTH,A,2013,0.337779318,
JPN,CPIFORECAST,TOT,AGRWTH,A,2014,2.770824342,
JPN,CPIFORECAST,TOT,AGRWTH,A,2015,0.78951789,
JPN,CPIFORECAST,TOT,AGRWTH,A,2016,-0.116666667,
JPN,CPIFORECAST,TOT,AGRWTH,A,2017,0.475554814,
JPN,CPIFORECAST,TOT,AGRWTH,A,2018,0.988125882,
JPN,CPIFORECAST,TOT,AGRWTH,A,2019,0.468672916,
JPN,CPIFORECAST,TOT,AGRWTH,A,2020,-0.024551927,
JPN,CPIFORECAST,TOT,AGRWTH,A,2021,0.086989695,
JPN,CPIFORECAST,TOT,AGRWTH,A,2022,0.581099668,
KOR,CPIFORECAST,TOT,AGRWTH,A,1963,20.69164176,
KOR,CPIFORECAST,TOT,AGRWTH,A,1964,29.46282324,
KOR,CPIFORECAST,TOT,AGRWTH,A,1965,13.54819573,
KOR,CPIFORECAST,TOT,AGRWTH,A,1966,11.26138837,
KOR,CPIFORECAST,TOT,AGRWTH,A,1967,10.88244352,
KOR,CPIFORECAST,TOT,AGRWTH,A,1968,10.77181976,
