LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1984,2.466382659,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1985,1.651792843,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1986,1.822762128,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1987,2.306659429,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1988,4.7232089,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1989,3.469166813,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1990,3.137402455,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1991,1.833074297,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1992,1.53065481,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1993,-0.961873091,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1994,3.226971469,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1995,2.384757222,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1996,1.317053573,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1997,3.793941693,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1998,1.962673329,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,1999,3.542547715,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2000,3.724051995,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2001,1.092727085,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2002,1.706298239,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2003,1.037996943,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2004,3.570260484,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2005,2.326696103,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2006,2.553193834,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2007,3.672377104,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2008,0.44498927,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.017963253,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.864267883,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.69472,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.739090486,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.45929217,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2014,1.578781102,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.041306083,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.266612591,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2017,1.621640836,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2018,1.787683963,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.784695605,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2020,-6.283664094,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2021,4.72595946,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2022,3.506137967,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1962,7.425369121,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1963,5.349535957,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1964,6.642882036,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1965,6.316703123,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1966,6.704816363,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1967,3.091360028,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1968,4.995509705,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1969,5.045503796,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1970,2.959969977,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1971,3.970338478,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1972,5.509636876,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1973,6.835819499,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1974,3.280319319,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1975,1.461126554,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1976,5.878737271,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1977,3.438114247,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1978,3.683539078,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1979,3.711133526,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1980,2.155536079,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1981,3.474064895,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1982,-3.187262084,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1983,2.601339447,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1984,5.908457042,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1985,4.737399897,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1986,2.144972051,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1987,4.072959129,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1988,4.410110977,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1989,2.316979303,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1990,0.164672536,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1991,-2.086085477,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1992,0.900259572,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1993,2.660856578,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1994,4.494466214,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1995,2.69397627,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1996,1.619172469,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1997,4.280040078,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1998,3.896151839,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,1999,5.162913598,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2000,5.177635689,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2001,1.789972836,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2002,3.018050546,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2003,1.801518098,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2004,3.086980818,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2005,3.204200429,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2006,2.634303812,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2007,2.071825046,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2008,1.004289187,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.925955611,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2010,3.089919454,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.146100495,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2012,1.76096156,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.329122521,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.870036041,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2015,0.659176889,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2016,1.001394427,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2017,3.039880194,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.429547587,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.861415344,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2020,-5.402798549,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2021,6.134172668,
CAN,REALGDPFORECAST,TOT,AGRWTH,A,2022,3.753635541,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1996,4.161125728,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1997,-0.54164712,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1998,-0.346112264,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,1999,1.231501569,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2000,4.330066456,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2001,3.030520427,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2002,1.489815654,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2003,3.580289227,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2004,4.664426091,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2005,6.674656302,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2006,6.943387332,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2007,5.556147053,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2008,2.518901067,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2009,-4.517003156,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.282586034,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.761501828,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2012,-0.711583753,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.043750218,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.261650389,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2015,5.464602052,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.445584349,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2017,5.3586089,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2018,3.181702149,
CZE,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.2457113,
