Adjetives_Verbs,Nouns_Dependent,Adjetive_Type
desillusioniert,verfügbare* Einkommen*,Negative
empört*,verfügbare* Einkommen*,Negative
enttäuscht,verfügbare* Einkommen*,Negative
frustriert,verfügbare* Einkommen*,Negative
gering*,verfügbare* Einkommen*,Negative
heftig*,verfügbare* Einkommen*,Negative
klein*,verfügbare* Einkommen*,Negative
leiden*,verfügbare* Einkommen*,Negative
missbilligen,verfügbare* Einkommen*,Negative
missfallen*,verfügbare* Einkommen*,Negative
negativ,verfügbare* Einkommen*,Negative
nicht genug,verfügbare* Einkommen*,Negative
nicht zustimmen,verfügbare* Einkommen*,Negative
niedrig*,verfügbare* Einkommen*,Negative
pessimistisch,verfügbare* Einkommen*,Negative
protestieren,verfügbare* Einkommen*,Negative
schaden,verfügbare* Einkommen*,Negative
schlecht*,verfügbare* Einkommen*,Negative
schwach*,verfügbare* Einkommen*,Negative
senken,verfügbare* Einkommen*,Negative
sinkend*,verfügbare* Einkommen*,Negative
sorgenvoll,verfügbare* Einkommen*,Negative
sorgsam,verfügbare* Einkommen*,Negative
unzufrieden,verfügbare* Einkommen*,Negative
unzureichend*,verfügbare* Einkommen*,Negative
verärgert*,verfügbare* Einkommen*,Negative
verhindern,verfügbare* Einkommen*,Negative
verletzt,verfügbare* Einkommen*,Negative
vermindern,verfügbare* Einkommen*,Negative
verringern,verfügbare* Einkommen*,Negative
widersprechen,verfügbare* Einkommen*,Negative
wütend,verfügbare* Einkommen*,Negative
ängstlich*,Volk*,Negative
bangen,Volk*,Negative
beschädigt*,Volk*,Negative
besorgt*,Volk*,Negative
desillusioniert,Volk*,Negative
empört*,Volk*,Negative
enttäuscht,Volk*,Negative
frustriert,Volk*,Negative
gering*,Volk*,Negative
heftig*,Volk*,Negative
klein*,Volk*,Negative
leiden*,Volk*,Negative
missbilligen,Volk*,Negative
missfallen*,Volk*,Negative
negativ,Volk*,Negative
nicht genug,Volk*,Negative
nicht zustimmen,Volk*,Negative
niedrig*,Volk*,Negative
pessimistisch,Volk*,Negative
protestieren,Volk*,Negative
schaden,Volk*,Negative
schlecht*,Volk*,Negative
schwach*,Volk*,Negative
senken,Volk*,Negative
sinkend*,Volk*,Negative
sorgenvoll,Volk*,Negative
sorgsam,Volk*,Negative
unzufrieden,Volk*,Negative
unzureichend*,Volk*,Negative
verärgert*,Volk*,Negative
verhindern,Volk*,Negative
verletzt,Volk*,Negative
vermindern,Volk*,Negative
verringern,Volk*,Negative
widersprechen,Volk*,Negative
wütend,Volk*,Negative
,Gemeinwohl,Positive
,politisch* Einheit,Positive
,politisch* Gleichgewicht*,Positive
,Solidarität,Positive
,soziale* Frieden*,Positive
,soziale* Gleichgewicht*,Positive
,soziale* Stabilität ,Positive
,soziale* Wohlstand*,Positive
,soziale* Zusammenhalt*,Positive
,Austerität* ,Negative
,öffentliche* Aufreg*,Negative
,öffentliche* Empörung*,Negative
,politische* Konflikt*,Negative
,politische* Spannung*,Negative
,politische* Unfrieden*,Negative
,politische* Unruhen*,Negative
,politsche* Chaos*,Negative
,soziale* Empörung*,Negative
,soziale* Instabilität*,Negative
,soziale* Missst*,Negative
,soziale* Spannungen*,Negative
,soziale* Unfrieden* ,Negative
,soziale* Ungleichheit* ,Negative
,soziale* Unruhen*,Negative
,soziale* Unsicherheit*,Negative
,soziale* Unzufriedenheit*,Negative
,Störung der öffentlichen Ordnung,Negative
,zivile* Unruhen*,Negative
,Zusammenbruch des zivilen,Negative
,soziale Kohäsion,Positive
,Zusammengehörigkeitsgefühl,Positive
